feature_set,model,rebalance,cutoff,cost_bps,n_months,gross_sharpe,net_sharpe,net_ann_return,avg_turnover,hit_rate,breakeven_bps,model_name
flow_compustat,mlp,monthly,0.1,10.0,95,2.281128977172152,2.028436388184547,0.2137388845838421,2.2134774047273877,0.7473684210526316,90.46873971823469,flow_compustat__mlp
flow_compustat,mlp,quarterly,0.1,10.0,95,1.9401814534466697,1.8499234175177768,0.1623759828410249,0.8564652561039733,0.7473684210526316,167.99043577053246,flow_compustat__mlp
flow_compustat,xgboost,monthly,0.1,10.0,95,1.9865518244219695,1.7704565920433664,0.2126930990273702,2.178243125716301,0.6947368421052632,91.37027822878572,flow_compustat__xgboost
flow_compustat,xgboost,quarterly,0.1,10.0,95,1.4428107183141758,1.367232205968025,0.164384040671468,0.8602575695495539,0.6421052631578947,169.23916906803314,flow_compustat__xgboost
return_only,xgboost,monthly,0.1,10.0,95,1.5313526083682734,1.313428472289908,0.180261814130065,2.5004065583421493,0.6105263157894737,70.0775013729449,return_only__xgboost
return_only,mlp,monthly,0.1,10.0,95,1.5122565429112833,1.1915947413370438,0.1232633014135221,2.764276016591294,0.631578947368421,47.159609687337934,return_only__mlp
return_only,xgboost,quarterly,0.1,10.0,95,0.9409492380110628,0.8679967980016224,0.1323138688774971,0.9561367658222492,0.6210526315789474,125.31985939594384,return_only__xgboost
return_only,mlp,quarterly,0.1,10.0,95,0.95274265247672,0.8115788846381901,0.0637135691561719,1.017838061449712,0.6,62.164133936840265,return_only__mlp
flow_compustat,elastic_net,quarterly,0.1,10.0,95,0.3346624501211819,0.2388359152856577,0.0276067654037354,0.9268533693800202,0.5578947368421052,34.82122695614183,flow_compustat__elastic_net
flow_compustat,elastic_net,monthly,0.1,10.0,95,0.437988885360943,0.2370437375194772,0.0319618054288318,2.252237103555939,0.5473684210526316,21.82594755024127,flow_compustat__elastic_net
flow_compustat,ridge,quarterly,0.1,10.0,95,0.2803818169924246,0.1660139045007285,0.0152910290186243,0.8780621620057883,0.5052631578947369,24.512098042214692,flow_compustat__ridge
flow_compustat,ridge,monthly,0.1,10.0,95,0.2341807152693474,-0.0052661871050695,-0.0005499077869325,2.080678870042789,0.4947368421052631,9.779756263348302,flow_compustat__ridge
return_only,elastic_net,monthly,0.1,10.0,95,0.0880894657403471,-0.1085857959842257,-0.0176125713386677,2.658187917324818,0.5052631578947369,4.478515726234237,return_only__elastic_net
return_only,elastic_net,quarterly,0.1,10.0,95,-0.0340568640855889,-0.1201192526045335,-0.0173219045789729,1.0334130228967258,0.4842105263157895,-3.9682006735462343,return_only__elastic_net
return_only,ridge,quarterly,0.1,10.0,95,-0.1890018145009623,-0.2445309732674964,-0.0502863617158651,0.9434704567053176,0.4842105263157895,-34.416124672546374,return_only__ridge
return_only,ridge,monthly,0.1,10.0,95,-0.161847428016143,-0.2839377139875352,-0.0641092270344606,2.2948520421075576,0.4526315789473684,-13.280087291809192,return_only__ridge
